Comunidades y Ciudades Autónomas;Periodo;Total
01 Andalucía;2022;8.511.167
02 Aragón;2022;1.328.215
03 Asturias, Principado de;2022;1.004.960
04 Balears, Illes;2022;1.187.043
05 Canarias;2022;2.185.607
06 Cantabria;2022;585.450
07 Castilla y León;2022;2.375.583
08 Castilla - La Mancha;2022;2.058.278
09 Cataluña;2022;7.761.823
10 Comunitat Valenciana;2022;5.108.116
11 Extremadura;2022;1.056.808
12 Galicia;2022;2.692.825
13 Madrid, Comunidad de;2022;6.743.254
14 Murcia, Región de;2022;1.529.658
15 Navarra, Comunidad Foral de;2022;664.514
16 País Vasco;2022;2.205.826
17 Rioja, La;2022;319.617
18 Ceuta;2022;83.051
19 Melilla;2022;84.932
