Date;IBEX Close;EUR Close;NASDAQ Close
01/01/2013;8362299805;1356834;3142129883
01/02/2013;8230299805;1315097;3160189941
01/03/2013;7920000000;1280787;3267520020
01/04/2013;8419000000;1309586;3328790039
01/05/2013;8320599609;1304393;3455909912
01/06/2013;7762700195;1301304;3403250000
01/07/2013;8433400391;1326489;3626370117
01/08/2013;8290500000;1322401;3589870117
01/09/2013;9186099609;1349546;3771479980
01/10/2013;9907900391;1372401;3919709961
01/11/2013;9837599609;1359398;4059889893
01/12/2013;9916700195;1381006;4176589844
01/01/2014;9920200195;1355877;4103879883
01/02/2014;10114200195;1370746;4308120117
01/03/2014;10340500000;1375213;4198990234
01/04/2014;10459000000;1381368;4114560059
01/05/2014;10798700195;1363457;4242620117
01/06/2014;10923500000;1364443;4408180176
01/07/2014;10707200195;1339603;4369770020
01/08/2014;10728799805;1313456;4580270020
01/09/2014;10825500000;1269084;4493390137
01/10/2014;10477799805;1261336;4630740234
01/11/2014;10770700195;1243797;4791629883
01/12/2014;10279500000;1216205;4736049805
01/01/2015;10403299805;1128796;4635240234
01/02/2015;11178299805;1119796;4963529785
01/03/2015;11521099609;1083025;4900879883
01/04/2015;11385000000;1111432;4941419922
01/05/2015;11217599609;1096035;5070029785
01/06/2015;10769500000;1122297;4986870117
01/07/2015;11180700195;1093924;5128279785
01/08/2015;10259000000;1121403;4776509766
01/09/2015;9559900391;1125594;4620160156
01/10/2015;10360700195;1100897;5053750000
01/11/2015;10386900391;1058302;5108669922
01/12/2015;9544200195;1093398;5007410156
01/01/2016;8815799805;1082591;4613950195
01/02/2016;8461400391;1092395;4557950195
01/03/2016;8723099609;1133466;4869850098
01/04/2016;9025700195;1144833;4775359863
01/05/2016;9034000000;1114840;4948049805
01/06/2016;8163299805;1112805;4842669922
01/07/2016;8587200195;1116807;5162129883
01/08/2016;8716799805;1115324;5213220215
01/09/2016;8779400391;1121957;5312000000
01/10/2016;9143299805;1098467;5189140137
01/11/2016;8688200195;1064849;5323680176
01/12/2016;9352099609;1052000;5383120117
01/01/2017;9315200195;1070859;5614790039
01/02/2017;9555500000;1058425;5825439941
01/03/2017;10462900391;1068707;5911740234
01/04/2017;10715799805;1090750;6047609863
01/05/2017;10880000000;1117169;6198520020
01/06/2017;10444500000;1144165;6140419922
01/07/2017;10502200195;1174729;6348120117
01/08/2017;10299500000;1189343;6428660156
01/09/2017;10381500000;1174164;6495959961
01/10/2017;10523500000;1165270;6727669922
01/11/2017;10211000000;1185199;6873970215
01/12/2017;10043900391;1200005;6903390137
01/01/2018;10451500000;1240957;7411479980
01/02/2018;9840299805;1223032;7273009766
01/03/2018;9600400391;1233198;7063450195
01/04/2018;9980599609;1212283;7066270020
01/05/2018;9465500000;1166725;7442120117
01/06/2018;9622700195;1170494;7510299805
01/07/2018;9870700195;1170741;7671790039
01/08/2018;9399099609;1166466;8109540039
01/09/2018;9389200195;1162304;8046350098
01/10/2018;8893500000;1134636;7305899902
01/11/2018;9077200195;1139277;7330540039
01/12/2018;8539900391;1143995;6635279785
01/01/2019;9056700195;1148765;7281740234
01/02/2019;9277700195;1138019;7532529785
01/03/2019;9240299805;1123305;7729319824
01/04/2019;9570599609;1118518;8095390137
01/05/2019;9004200195;1113115;7453149902
01/06/2019;9198799805;1139095;8006240234
01/07/2019;8971000000;1115797;8175419922
01/08/2019;8812900391;1101200;7962879883
01/09/2019;9244599609;1094271;7999339844
01/10/2019;9257500000;1115449;8292360352
01/11/2019;9352000000;1102000;8665469727
01/12/2019;9549200195;1120230;8972599609
01/01/2020;9367900391;1102913;9150940430
01/02/2020;8723200195;1103000;8567370117
01/03/2020;6785399902;1103047;7700100098
01/04/2020;6922299805;1087725;8889549805
01/05/2020;7096500000;1111000;9489870117
01/06/2020;7231399902;1124720;10058769531
01/07/2020;6877399902;1187225;10745269531
01/08/2020;6969500000;1191824;11775459961
01/09/2020;6716600098;1174205;11167509766
01/10/2020;6452200195;1167679;10911589844
01/11/2020;8076899902;1197146;12198740234
01/12/2020;8073700195;1229990;12888280273
01/01/2021;7757500000;1213900;13070690430
01/02/2021;8225000000;1207361;13192349609
01/03/2021;8580000000;1172360;13246870117
01/04/2021;8815000000;1212709;13962679688
01/05/2021;9148900391;1219007;13748740234
01/06/2021;8821200195;1190193;14503950195
01/07/2021;8675700195;1186780;14672679688
01/08/2021;8846599609;1179690;15259240234
01/09/2021;8796299805;1160160;14448580078
01/10/2021;9057700195;1156136;15498389648
01/11/2021;8305099609;1129344;15537690430
01/12/2021;8713799805;1132503;15644969727
01/01/2022;8612799805;1115237;14239879883
01/02/2022;8479200195;1118105;13751400391
01/03/2022;8445099609;1116184;14220519531
01/04/2022;8584200195;1054630;12334639648
01/05/2022;8851500000;1077354;12081389648
01/06/2022;8098700195;1044659;11028740234
01/07/2022;8156200195;1022704;12390690430
01/08/2022;7886100098;1002506;11816200195
01/09/2022;7366799805;982956;10575620117
01/10/2022;7956500000;995500;10988150391
01/11/2022;8363200195;1032450;11468000000
01/12/2022;8229099609;1072846;10466480469
